iter	F1	Logloss
0	0.06329113924	0.6717793843
1	0.0987654321	0.649069431
2	0.06329113924	0.6312042009
3	0.02597402597	0.6148088455
4	0.07594936709	0.5963661167
5	0.07594936709	0.5821618997
6	0.06369426752	0.5658889647
7	0.07594936709	0.548761077
8	0.1118012422	0.5330925468
9	0.07594936709	0.5225836575
10	0.1234567901	0.5077720172
11	0.07594936709	0.5010054306
12	0.07594936709	0.4908106581
13	0.07594936709	0.48135464
14	0.08805031447	0.4701728656
15	0.06369426752	0.4652891197
16	0.06369426752	0.4562129872
17	0.1118012422	0.4460483982
18	0.1	0.4422031516
19	0.1234567901	0.4332762593
20	0.1234567901	0.4268441736
21	0.1575757576	0.4166242513
22	0.1575757576	0.4087438544
23	0.1796407186	0.4015414077
24	0.1686746988	0.3963496647
25	0.1686746988	0.3907185443
26	0.1904761905	0.3828199547
27	0.2325581395	0.3770864552
28	0.2427745665	0.3727538794
29	0.201183432	0.3692621839
30	0.2222222222	0.3651048918
31	0.2325581395	0.360866683
32	0.2427745665	0.3553980266
33	0.3016759777	0.3502337242
34	0.2824858757	0.3468229539
35	0.3111111111	0.3419742181
36	0.3296703297	0.3394390831
37	0.3296703297	0.3345790984
38	0.3387978142	0.3327644213
39	0.347826087	0.3291371537
40	0.3387978142	0.326838944
41	0.347826087	0.322926133
42	0.347826087	0.3200872781
43	0.347826087	0.3179794664
44	0.3655913978	0.3149213689
45	0.3829787234	0.3114065835
46	0.3915343915	0.3080941215
47	0.3743315508	0.3061550484
48	0.3743315508	0.3034993606
49	0.3743315508	0.3013748487
50	0.4	0.2979903846
51	0.414507772	0.2942288441
52	0.4226804124	0.2917664566
53	0.40625	0.2904187337
54	0.4329896907	0.2873772896
55	0.441025641	0.2846759385
56	0.4489795918	0.2821690693
57	0.4568527919	0.2792942619
58	0.4646464646	0.2776425538
59	0.48	0.2759669608
60	0.4875621891	0.2747213386
61	0.4875621891	0.2733388111
62	0.4875621891	0.2715554918
63	0.4875621891	0.2699079094
64	0.495049505	0.2681188615
65	0.4875621891	0.2669377108
66	0.495049505	0.2657634169
67	0.495049505	0.2642120959
68	0.495049505	0.262448254
69	0.5024630542	0.2607644929
70	0.5098039216	0.2596339469
71	0.5242718447	0.2578580516
72	0.5523809524	0.2556179772
73	0.5384615385	0.2546083953
74	0.5523809524	0.2535313591
75	0.5592417062	0.2522355193
76	0.5592417062	0.2511513147
77	0.5660377358	0.2502895205
78	0.5660377358	0.2487597976
79	0.5794392523	0.2472853643
80	0.5794392523	0.2466422082
81	0.5860465116	0.2454651999
82	0.5833333333	0.244766049
83	0.5925925926	0.2435817218
84	0.599078341	0.242765544
85	0.599078341	0.2412907741
86	0.599078341	0.2412491145
87	0.6055045872	0.2406013188
88	0.6055045872	0.2393138048
89	0.599078341	0.2384071118
90	0.599078341	0.2372960559
91	0.599078341	0.2365783456
92	0.599078341	0.2357337091
93	0.6118721461	0.2345369798
94	0.6118721461	0.2344856889
95	0.6118721461	0.2333042098
96	0.6118721461	0.2321814001
97	0.6181818182	0.2306121882
98	0.6244343891	0.2295609914
99	0.6244343891	0.2283427192
100	0.6306306306	0.2274711927
101	0.6306306306	0.22660845
102	0.6244343891	0.2254872506
103	0.6306306306	0.2241848347
104	0.6367713004	0.223407723
105	0.6428571429	0.2223737202
106	0.6428571429	0.2216234554
107	0.6488888889	0.220706325
108	0.6607929515	0.2197243116
