iter	Passed	Remaining
0	12	12723
1	14	7086
2	15	5179
3	16	4219
4	18	3648
5	19	3270
6	21	2998
7	22	2799
8	23	2638
9	25	2506
10	26	2414
11	28	2367
12	30	2328
13	32	2278
14	34	2267
15	36	2269
16	40	2344
17	42	2324
18	45	2323
19	46	2279
20	47	2234
21	49	2194
22	50	2159
23	52	2124
24	53	2094
25	55	2067
26	56	2048
27	58	2026
28	59	2004
29	61	1982
30	62	1963
31	64	1960
32	66	1943
33	67	1923
34	69	1907
35	70	1892
36	72	1887
37	74	1875
38	75	1864
39	77	1852
40	78	1840
41	80	1828
42	81	1822
43	83	1815
44	85	1804
45	86	1793
46	88	1788
47	89	1781
48	91	1773
49	92	1765
50	94	1756
51	95	1750
52	98	1756
53	99	1750
54	101	1740
55	103	1746
56	105	1744
57	108	1757
58	111	1771
59	112	1765
60	114	1762
61	116	1757
62	118	1757
63	119	1750
64	122	1757
65	124	1759
66	126	1768
67	128	1760
68	129	1752
69	131	1744
70	132	1739
71	134	1736
72	136	1732
73	138	1727
74	139	1723
75	141	1719
76	142	1712
77	144	1706
78	146	1702
79	148	1705
80	149	1701
81	151	1696
82	152	1689
83	154	1683
84	155	1677
85	157	1671
86	158	1665
87	159	1650
88	160	1643
89	161	1637
90	163	1634
91	165	1629
92	166	1623
93	167	1617
94	169	1613
95	170	1608
96	172	1602
97	173	1597
98	174	1592
99	176	1586
100	177	1583
101	179	1581
102	181	1578
103	182	1573
104	184	1569
105	185	1565
106	186	1560
107	188	1556
108	189	1551
109	191	1547
110	192	1543
111	194	1542
112	196	1538
113	198	1540
114	199	1538
115	202	1541
116	203	1537
117	205	1533
118	206	1529
119	208	1526
120	209	1522
121	211	1518
122	212	1514
123	213	1510
124	215	1507
125	216	1503
126	218	1500
127	219	1496
128	221	1492
129	222	1489
130	224	1488
131	225	1485
132	227	1482
133	228	1478
134	230	1474
135	231	1470
136	233	1468
137	234	1466
138	236	1463
139	237	1460
140	239	1457
141	240	1454
142	242	1451
143	243	1447
144	244	1444
145	246	1441
146	247	1438
147	249	1436
148	250	1433
149	252	1431
150	254	1430
151	256	1429
152	257	1426
153	258	1422
154	260	1419
155	261	1416
156	263	1412
157	264	1410
158	265	1406
159	267	1404
160	268	1401
161	270	1398
162	271	1395
163	273	1393
164	274	1389
165	276	1387
166	277	1384
167	278	1381
168	280	1379
169	281	1376
170	283	1376
171	285	1373
172	286	1371
173	288	1368
174	289	1365
175	291	1362
176	292	1360
177	293	1357
178	295	1354
179	296	1350
180	298	1348
181	299	1345
182	300	1342
183	302	1339
184	303	1336
185	304	1334
186	306	1331
187	307	1328
188	308	1325
189	310	1323
190	311	1321
191	313	1319
192	315	1318
193	316	1315
194	318	1312
195	319	1310
196	320	1307
197	322	1305
198	323	1302
199	324	1299
200	326	1298
201	327	1295
202	329	1293
203	330	1290
204	332	1287
205	333	1285
206	334	1282
207	336	1280
208	337	1278
209	339	1275
210	340	1272
211	341	1270
212	343	1268
213	344	1265
214	346	1263
215	347	1261
216	348	1258
217	350	1256
218	351	1253
219	353	1251
220	354	1249
221	355	1247
222	357	1245
223	360	1249
224	364	1255
225	366	1255
226	368	1254
227	369	1252
228	371	1249
229	372	1248
230	375	1248
231	376	1246
232	378	1244
233	381	1247
234	383	1247
235	385	1246
236	386	1245
237	388	1243
238	389	1241
239	391	1238
240	392	1236
241	393	1233
242	395	1231
243	396	1229
244	398	1226
245	399	1224
246	400	1222
247	403	1222
248	404	1220
249	406	1218
250	407	1216
251	409	1214
252	410	1211
253	411	1209
254	413	1207
255	414	1205
256	416	1202
257	417	1200
258	418	1198
259	420	1196
260	421	1194
261	423	1192
262	424	1190
263	426	1187
264	427	1185
265	428	1183
266	430	1181
267	432	1180
268	433	1177
269	434	1175
270	436	1173
271	437	1170
272	438	1168
273	440	1166
274	441	1164
275	443	1162
276	444	1160
277	445	1158
278	447	1156
279	448	1154
280	450	1152
281	451	1150
282	453	1148
283	454	1146
284	456	1144
285	457	1142
286	458	1140
287	460	1137
288	462	1136
289	463	1135
290	465	1135
291	467	1133
292	468	1131
293	470	1130
294	472	1128
295	473	1125
296	474	1123
297	476	1121
298	477	1119
299	479	1117
300	480	1115
301	481	1113
302	483	1111
303	484	1109
304	486	1107
305	487	1105
306	488	1103
307	490	1101
308	492	1100
309	493	1098
310	495	1096
311	496	1094
312	497	1092
313	499	1090
314	507	1103
315	510	1104
316	511	1103
317	513	1101
318	514	1099
319	516	1097
320	517	1095
321	519	1093
322	521	1092
323	522	1090
324	524	1088
325	525	1086
326	527	1084
327	528	1083
328	530	1082
329	532	1080
330	533	1078
331	535	1076
332	536	1074
333	538	1072
334	539	1070
335	540	1068
336	542	1066
337	543	1064
338	544	1062
339	546	1060
340	548	1059
341	549	1057
342	551	1056
343	552	1054
344	554	1052
345	555	1050
346	556	1048
347	558	1046
348	559	1044
349	561	1042
350	562	1040
351	564	1038
352	565	1036
353	566	1034
354	568	1032
355	569	1030
356	571	1028
357	572	1026
358	573	1024
359	575	1022
360	576	1020
361	578	1018
362	579	1017
363	581	1015
364	582	1013
365	584	1012
366	585	1010
367	587	1008
368	588	1006
369	589	1004
370	591	1002
371	592	1000
372	594	998
373	595	996
374	596	994
375	598	993
376	599	991
377	601	989
378	602	987
379	603	985
380	605	983
381	606	981
382	607	979
383	609	977
384	611	976
385	612	974
386	614	972
387	615	970
388	616	968
389	618	967
390	619	965
391	621	963
392	622	961
393	623	959
394	625	958
395	627	956
396	629	955
397	630	954
398	633	953
399	634	951
400	636	950
401	637	948
402	639	946
403	640	945
404	642	943
405	643	941
406	645	939
407	646	938
408	647	936
409	649	934
410	650	932
411	652	930
412	653	928
413	654	926
414	656	925
415	657	923
416	659	921
417	660	919
418	661	917
419	663	915
420	664	914
421	666	912
422	667	910
423	668	908
424	670	907
425	671	905
426	673	904
427	675	902
428	676	900
429	678	898
430	679	897
431	680	895
432	682	893
433	683	891
434	685	889
435	686	888
436	687	886
437	689	884
438	690	882
439	692	880
440	693	879
441	694	877
442	696	875
443	697	873
444	699	871
445	700	870
446	702	869
447	704	868
448	706	866
449	707	865
450	709	863
451	710	861
452	712	860
453	713	858
454	715	856
455	716	854
456	717	853
457	719	851
458	720	849
459	722	847
460	723	845
461	724	843
462	726	842
463	727	840
464	728	838
465	730	836
466	732	835
467	733	834
468	735	832
469	736	830
470	738	828
471	739	827
472	740	825
473	742	823
474	743	821
475	744	819
476	746	818
477	747	816
478	749	814
479	750	812
480	751	811
481	753	809
482	754	807
483	756	806
484	757	804
485	758	802
486	760	800
487	762	799
488	765	799
489	766	798
490	768	797
491	770	795
492	772	794
493	773	792
494	775	790
495	777	789
496	778	787
497	779	786
498	781	784
499	782	782
500	784	781
501	785	779
502	787	777
503	788	776
504	790	774
505	791	772
506	793	771
507	794	769
508	795	767
509	797	765
510	798	764
511	799	762
512	801	760
513	802	759
514	804	757
515	805	755
516	807	754
517	808	752
518	809	750
519	811	748
520	812	747
521	814	745
522	815	743
523	817	742
524	818	740
525	820	739
526	821	737
527	823	735
528	824	734
529	825	732
530	827	730
531	828	728
532	829	727
533	831	725
534	833	724
535	834	722
536	836	721
537	838	719
538	839	718
539	840	716
540	842	714
541	844	714
542	846	712
543	848	711
544	849	709
545	851	708
546	852	706
547	854	705
548	856	703
549	857	701
550	859	700
551	861	699
552	862	697
553	864	696
554	866	694
555	867	692
556	868	691
557	870	689
558	871	687
559	873	686
560	874	684
561	876	682
562	877	681
563	879	679
564	880	678
565	882	676
566	884	675
567	885	673
568	887	672
569	889	670
570	890	669
571	892	667
572	893	666
573	895	664
574	897	663
575	898	661
576	900	660
577	902	658
578	904	657
579	906	656
580	907	654
581	910	653
582	912	652
583	913	650
584	915	649
585	916	647
586	918	646
587	919	644
588	921	642
589	922	641
590	924	639
591	925	637
592	927	636
593	928	634
594	930	633
595	931	631
596	932	629
597	934	628
598	935	626
599	936	624
600	938	623
601	939	621
602	941	620
603	943	618
604	944	616
605	946	615
606	947	613
607	948	611
608	950	610
609	951	608
610	953	606
611	954	605
612	956	603
