iter	Recall	Logloss
0	0.1644736842	0.6718134415
1	0.2236842105	0.6507041752
2	0.1644736842	0.6308126531
3	0.1447368421	0.6101397991
4	0.1447368421	0.5908130605
5	0.09868421053	0.5775678544
6	0.07894736842	0.5631530085
7	0.08552631579	0.5503284362
8	0.08552631579	0.534816344
9	0.07236842105	0.5229521356
10	0.07236842105	0.5124443271
11	0.07236842105	0.504102881
12	0.07894736842	0.4919116649
13	0.09868421053	0.4800902841
14	0.08552631579	0.4716889755
15	0.08552631579	0.4630495568
16	0.09868421053	0.4514052479
17	0.1118421053	0.4421287203
18	0.1381578947	0.4315394472
19	0.1644736842	0.4216833464
20	0.1776315789	0.4148765516
21	0.1710526316	0.4081375598
22	0.1842105263	0.4009008398
23	0.2105263158	0.3936965102
24	0.2105263158	0.3884993435
25	0.1973684211	0.3842408504
26	0.1973684211	0.3803231121
27	0.2039473684	0.3761222928
28	0.2039473684	0.3729350639
29	0.2105263158	0.3691430266
30	0.2171052632	0.3640284816
31	0.2171052632	0.3584923654
32	0.2105263158	0.3549565622
33	0.2105263158	0.351871571
34	0.2105263158	0.3488927075
35	0.2171052632	0.3440613392
36	0.2236842105	0.3403279727
37	0.2302631579	0.3373731377
38	0.25	0.3343872944
39	0.25	0.3301184354
40	0.25	0.3270130722
41	0.25	0.3237415813
42	0.2565789474	0.3213770764
43	0.2565789474	0.3187579782
44	0.2565789474	0.3158627256
45	0.2631578947	0.3137180482
46	0.2565789474	0.3117082336
47	0.2697368421	0.3089634086
48	0.2828947368	0.3068012689
49	0.2828947368	0.3049128045
50	0.2697368421	0.3023863551
51	0.2828947368	0.2993695127
52	0.2960526316	0.2967153479
53	0.2960526316	0.2941738519
54	0.3026315789	0.2913695903
55	0.3092105263	0.2892394422
56	0.3092105263	0.2868797356
57	0.3092105263	0.2852452631
58	0.3223684211	0.2834853273
59	0.3289473684	0.2821210127
60	0.3421052632	0.2795400495
61	0.3421052632	0.2777540254
62	0.3486842105	0.2760115657
63	0.3486842105	0.2735244315
64	0.3552631579	0.2715637242
65	0.3552631579	0.2701244179
66	0.3618421053	0.2687601267
67	0.3618421053	0.2670766915
68	0.3618421053	0.2656936651
69	0.3618421053	0.2646782972
70	0.3684210526	0.2631693127
71	0.3618421053	0.2613851221
72	0.3684210526	0.2599865734
73	0.3815789474	0.2585797592
74	0.4078947368	0.2562115488
75	0.4078947368	0.2547098834
76	0.4210526316	0.252675875
77	0.4144736842	0.2517935551
78	0.4144736842	0.2506999233
79	0.4210526316	0.249601767
80	0.4210526316	0.247974787
81	0.4276315789	0.2463122842
82	0.4276315789	0.2453891835
83	0.4473684211	0.2432481996
84	0.4473684211	0.2420097419
85	0.4473684211	0.2407923655
86	0.4407894737	0.239391024
87	0.4605263158	0.2378302392
88	0.4671052632	0.2366917876
89	0.4736842105	0.2354639971
90	0.4802631579	0.2340936921
91	0.4868421053	0.2331650106
92	0.4802631579	0.2319836078
93	0.4802631579	0.2312854608
94	0.4802631579	0.2299411817
95	0.4868421053	0.2287326205
96	0.4934210526	0.2278542761
97	0.4934210526	0.2264320334
98	0.5	0.2254506628
99	0.5	0.2243647076
100	0.5065789474	0.2235987061
101	0.5065789474	0.2226955927
102	0.5197368421	0.2215098614
103	0.5263157895	0.2203035522
104	0.5263157895	0.2190505986
105	0.5263157895	0.218325289
106	0.5263157895	0.2173988716
107	0.5263157895	0.2165602599
108	0.5328947368	0.215660325
109	0.5328947368	0.2148074315
110	0.5328947368	0.2141296045
111	0.5460526316	0.2127940916
112	0.5460526316	0.2123621902
113	0.5460526316	0.2118080725
114	0.5460526316	0.2111278394
115	0.5460526316	0.2098353728
116	0.5460526316	0.208947341
117	0.5526315789	0.2081482516
118	0.5592105263	0.2067462068
119	0.5592105263	0.2063198161
120	0.5657894737	0.2056145445
121	0.5657894737	0.2049152206
122	0.5657894737	0.204125256
123	0.5723684211	0.2028345795
124	0.5789473684	0.2019760051
125	0.5789473684	0.2015259594
126	0.5789473684	0.2008341425
127	0.5855263158	0.2000104966
128	0.5921052632	0.1992732324
129	0.5986842105	0.198532838
130	0.5986842105	0.1977647644
131	0.5986842105	0.1974782308
132	0.6052631579	0.1969605478
133	0.6052631579	0.1963251687
134	0.6184210526	0.1954585668
135	0.6184210526	0.1944969128
136	0.6118421053	0.1937279865
137	0.625	0.1930346558
138	0.625	0.1924874962
139	0.6381578947	0.1919295498
140	0.6315789474	0.191190638
141	0.6315789474	0.1903972367
142	0.6447368421	0.1898903762
143	0.6447368421	0.1891121768
144	0.6644736842	0.1884069584
145	0.6578947368	0.1879080545
146	0.6644736842	0.1874521423
147	0.6710526316	0.1863699083
148	0.6710526316	0.1850423869
149	0.6710526316	0.1850019193
150	0.6710526316	0.1846575168
151	0.6710526316	0.1838880378
152	0.6710526316	0.1832379248
153	0.6710526316	0.1824780653
154	0.6842105263	0.1815817064
155	0.6907894737	0.1810364092
156	0.6842105263	0.1798456432
157	0.6842105263	0.1793554216
158	0.6842105263	0.1784405732
159	0.6907894737	0.1778464459
160	0.6907894737	0.1771917179
161	0.6973684211	0.1762412953
162	0.6973684211	0.1756348049
163	0.6973684211	0.1750774141
164	0.7105263158	0.1744985998
165	0.7105263158	0.173770774
166	0.7105263158	0.1730991523
167	0.7105263158	0.1721983213
168	0.7105263158	0.1717475674
169	0.7105263158	0.1707625906
170	0.7236842105	0.1703418268
171	0.7236842105	0.1698988315
172	0.7171052632	0.1694497391
173	0.7171052632	0.1685769799
174	0.7171052632	0.1678840154
175	0.7171052632	0.1674329077
176	0.7236842105	0.166975178
177	0.7236842105	0.1656876356
178	0.7236842105	0.1650343312
179	0.7236842105	0.1643823019
180	0.7236842105	0.1639841257
181	0.7236842105	0.1632823873
182	0.7236842105	0.1628835738
183	0.7434210526	0.1622615093
184	0.7434210526	0.1618675714
185	0.7434210526	0.1612148746
186	0.7434210526	0.1608548666
187	0.7434210526	0.1599267097
188	0.7434210526	0.1593587732
189	0.7434210526	0.1587578118
190	0.7434210526	0.1579809895
191	0.7434210526	0.1577430885
192	0.7434210526	0.1570383156
193	0.7434210526	0.155937538
194	0.7434210526	0.1552886823
195	0.7434210526	0.1546286398
196	0.7434210526	0.1538387809
197	0.7434210526	0.1534838326
198	0.7434210526	0.1530725333
199	0.7434210526	0.1527880325
200	0.7434210526	0.1522541896
201	0.7434210526	0.1514810003
202	0.7434210526	0.151027753
203	0.7434210526	0.1503947787
204	0.7434210526	0.1493715934
205	0.75	0.1485132015
206	0.75	0.1482850498
207	0.75	0.1475005023
208	0.7697368421	0.1467071294
209	0.7697368421	0.1464207466
210	0.7697368421	0.1459672835
211	0.7697368421	0.1455577831
212	0.7763157895	0.1448752067
213	0.7763157895	0.1442874152
214	0.7763157895	0.1434305428
215	0.7763157895	0.143054363
216	0.7763157895	0.142528049
217	0.7763157895	0.1418729372
218	0.7763157895	0.1415595299
219	0.7828947368	0.1410882796
220	0.7894736842	0.1405514572
221	0.7894736842	0.139756881
222	0.7894736842	0.1393999113
223	0.7960526316	0.1388607266
224	0.7960526316	0.1382353555
225	0.7960526316	0.1374361438
226	0.7960526316	0.1367254038
227	0.7960526316	0.1362765593
228	0.7960526316	0.1354705106
229	0.8026315789	0.1349706826
230	0.8026315789	0.1347236629
231	0.8026315789	0.134275643
232	0.8026315789	0.1339162151
233	0.8092105263	0.1334647546
234	0.8092105263	0.1329050515
235	0.8092105263	0.1323919394
236	0.8092105263	0.1317623141
237	0.8092105263	0.1312671996
238	0.8157894737	0.1306212004
239	0.8157894737	0.1301583817
240	0.8157894737	0.1298450882
241	0.8157894737	0.1293683131
242	0.8157894737	0.1289079745
243	0.8223684211	0.12819709
244	0.8223684211	0.1275489696
245	0.8223684211	0.1271976471
246	0.8223684211	0.1267455392
247	0.8223684211	0.1262823388
248	0.8355263158	0.1256074399
249	0.8289473684	0.125130497
250	0.8289473684	0.1245502413
251	0.8355263158	0.123850264
252	0.8355263158	0.1230792504
253	0.8355263158	0.1225165397
254	0.8355263158	0.1219029902
255	0.8355263158	0.1212487116
256	0.8355263158	0.1207317315
257	0.8486842105	0.1200867611
258	0.8486842105	0.1194223561
259	0.8486842105	0.1188897203
260	0.8486842105	0.1182137999
261	0.8486842105	0.1178198054
262	0.8486842105	0.1173420212
263	0.8486842105	0.1167484028
264	0.8486842105	0.1161781628
265	0.8486842105	0.1159093979
266	0.8486842105	0.11529721
267	0.8486842105	0.1146665235
268	0.8486842105	0.1144312011
269	0.8486842105	0.1139423023
270	0.8486842105	0.113819845
271	0.8552631579	0.1131498678
272	0.8552631579	0.1124285489
273	0.8552631579	0.1120927109
274	0.8552631579	0.1116219883
275	0.8552631579	0.1112668349
276	0.8552631579	0.1111363338
277	0.8552631579	0.1106846819
278	0.8552631579	0.110056236
279	0.8552631579	0.1097596215
280	0.8552631579	0.1092788083
281	0.8552631579	0.1089383495
282	0.8552631579	0.1085188428
283	0.8552631579	0.108204728
284	0.8552631579	0.1076267124
285	0.8618421053	0.106824747
286	0.8552631579	0.1062962651
287	0.8618421053	0.1058659296
288	0.8618421053	0.105704355
289	0.8618421053	0.1053403757
290	0.8618421053	0.1050462342
291	0.875	0.1045977473
292	0.8815789474	0.1040227883
293	0.8881578947	0.1036038751
294	0.8815789474	0.1033421438
295	0.8881578947	0.1027975598
296	0.9013157895	0.1024971975
297	0.9013157895	0.1022489362
298	0.9013157895	0.1019878541
299	0.9013157895	0.1016034786
300	0.9013157895	0.1009898385
301	0.9013157895	0.1009270874
302	0.9013157895	0.1005845118
303	0.9013157895	0.1000751501
304	0.9013157895	0.09982208111
305	0.9078947368	0.09942043627
306	0.9144736842	0.09863976199
307	0.9144736842	0.09831987554
308	0.9144736842	0.09799659812
309	0.9144736842	0.09745743338
310	0.9144736842	0.09713442154
311	0.9144736842	0.09674262917
312	0.9144736842	0.09646024049
313	0.9144736842	0.09603045999
314	0.9144736842	0.09536877839
315	0.9144736842	0.095311696
316	0.9144736842	0.09505506228
317	0.9144736842	0.09467677427
318	0.9144736842	0.09416724125
319	0.9144736842	0.09377852831
320	0.9210526316	0.09324137833
321	0.9210526316	0.09280840847
322	0.9210526316	0.09242471036
323	0.9210526316	0.09209067917
324	0.9276315789	0.09177720166
325	0.9276315789	0.09137879378
326	0.9276315789	0.09095827761
327	0.9276315789	0.09031367151
328	0.9276315789	0.08986803057
329	0.9276315789	0.0894483282
330	0.9276315789	0.08887014134
331	0.9276315789	0.08856607091
332	0.9276315789	0.08834714339
333	0.9276315789	0.08784517707
334	0.9276315789	0.08717560716
335	0.9276315789	0.08671448365
336	0.9276315789	0.08648748501
337	0.9276315789	0.08588006914
338	0.9276315789	0.08559251513
339	0.9276315789	0.08531813492
340	0.9276315789	0.08487969335
341	0.9276315789	0.08465736032
342	0.9276315789	0.08442800224
343	0.9276315789	0.08411311536
344	0.9276315789	0.08386437866
345	0.9276315789	0.08341640998
346	0.9276315789	0.08315213921
347	0.9276315789	0.08283837664
348	0.9342105263	0.08236105624
349	0.9276315789	0.08218403969
350	0.9342105263	0.08195503294
351	0.9342105263	0.08166474585
352	0.9342105263	0.08117052155
353	0.9342105263	0.08057282793
354	0.9342105263	0.08017485575
355	0.9342105263	0.07988516452
356	0.9342105263	0.07949271197
357	0.9342105263	0.07929117055
358	0.9342105263	0.07892985756
359	0.9342105263	0.07851748334
360	0.9342105263	0.07818723208
361	0.9342105263	0.07784142776
362	0.9342105263	0.07730887364
363	0.9342105263	0.07689265842
364	0.9342105263	0.07669401905
365	0.9342105263	0.07641075731
366	0.9342105263	0.07601384849
367	0.9407894737	0.07551142905
368	0.9407894737	0.07508628627
369	0.9407894737	0.07481436245
370	0.9407894737	0.07445880144
371	0.9407894737	0.07414767816
372	0.9407894737	0.0739524576
373	0.9407894737	0.07377184487
374	0.9407894737	0.07341323464
