iter	Passed	Remaining
0	22	2245
1	44	2178
2	69	2250
3	95	2298
4	117	2240
5	143	2246
6	177	2361
7	209	2414
8	248	2512
9	273	2462
10	298	2412
11	337	2476
12	368	2463
13	399	2452
14	423	2399
15	463	2431
16	491	2398
17	526	2398
18	552	2354
19	582	2329
20	607	2285
21	637	2260
22	679	2274
23	705	2234
24	744	2232
25	782	2227
26	809	2189
27	854	2196
28	880	2156
29	914	2133
30	942	2098
31	975	2072
32	998	2027
33	1021	1983
34	1069	1985
35	1097	1950
36	1125	1916
37	1164	1899
38	1203	1883
39	1233	1850
40	1256	1807
41	1289	1780
42	1317	1745
43	1339	1704
44	1361	1664
45	1383	1624
46	1405	1585
47	1427	1546
48	1450	1509
49	1476	1476
50	1500	1441
51	1522	1405
52	1544	1369
53	1567	1334
54	1590	1301
55	1612	1266
56	1635	1233
57	1657	1200
58	1679	1167
59	1708	1139
60	1730	1106
61	1754	1075
62	1776	1043
63	1798	1011
64	1820	980
65	1842	949
66	1864	918
67	1886	887
68	1923	864
69	1946	834
70	1968	803
71	2004	779
72	2038	754
73	2062	724
74	2098	699
75	2123	670
76	2162	645
77	2186	616
78	2209	587
79	2247	561
80	2285	536
81	2309	506
82	2336	478
83	2363	450
84	2386	421
85	2408	392
86	2431	363
87	2453	334
88	2476	306
89	2499	277
90	2526	249
91	2549	221
92	2573	193
93	2595	165
94	2620	137
95	2656	110
96	2683	82
97	2721	55
98	2751	27
99	2776	0
